algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,9517,8
QuickSort,random,1000,0,19778,6
QuickSelect,random,1000,0,4452,9
MergeSort,random,10000,1,126890,11
QuickSort,random,10000,0,240833,10
QuickSelect,random,10000,0,51510,19
MergeSort,random,100000,8,1639534,14
QuickSort,random,100000,9,3104424,11
QuickSelect,random,100000,1,661498,20
MergeSort,random,1000000,101,19889057,18
QuickSort,random,1000000,104,37209976,15
QuickSelect,random,1000000,11,5133697,31
MergeSort,sorted,1000,0,4236,8
QuickSort,sorted,1000,0,16643,7
QuickSelect,sorted,1000,0,3687,11
MergeSort,sorted,10000,0,59248,11
QuickSort,sorted,10000,0,238350,10
QuickSelect,sorted,10000,0,50997,16
MergeSort,sorted,100000,2,744016,14
QuickSort,sorted,100000,5,2958142,12
QuickSelect,sorted,100000,0,335068,15
MergeSort,sorted,1000000,26,9071040,18
QuickSort,sorted,1000000,70,36973555,13
QuickSelect,sorted,1000000,7,6005150,16
MergeSort,duplicates,1000,0,9076,8
QuickSort,duplicates,1000,0,5724,3
QuickSelect,duplicates,1000,0,3131,3
MergeSort,duplicates,10000,0,121810,11
QuickSort,duplicates,10000,0,59870,3
QuickSelect,duplicates,10000,0,46966,3
MergeSort,duplicates,100000,4,1561938,14
QuickSort,duplicates,100000,1,589803,3
QuickSelect,duplicates,100000,0,160106,1
MergeSort,duplicates,1000000,55,18922072,18
QuickSort,duplicates,1000000,13,6398257,3
QuickSelect,duplicates,1000000,9,3100429,3
